X1,X2,X3,X4,X5,X6,X7,X8,Y1,Y2
0.71,710.50,269.50,220.50,3.50,3,0.10,1,10.80,14.280
0.71,710.50,269.50,220.50,3.50,4,0.10,1,10.70,13.870
0.71,710.50,269.50,220.50,3.50,5,0.10,1,10.75,14.270
0.69,735.00,294.00,220.50,3.50,2,0.10,1,11.11,14.280
0.69,735.00,294.00,220.50,3.50,3,0.10,1,11.13,14.610
0.69,735.00,294.00,220.50,3.50,4,0.10,1,11.09,14.300
0.69,735.00,294.00,220.50,3.50,5,0.10,1,11.16,14.450
0.66,759.50,318.50,220.50,3.50,2,0.10,1,11.68,13.900
0.66,759.50,318.50,220.50,3.50,3,0.10,1,11.69,13.720
0.66,759.50,318.50,220.50,3.50,4,0.10,1,11.70,13.880
0.66,759.50,318.50,220.50,3.50,5,0.10,1,11.69,13.650
0.64,784.00,343.00,220.50,3.50,2,0.10,1,15.41,19.370
0.64,784.00,343.00,220.50,3.50,3,0.10,1,15.20,19.430
0.64,784.00,343.00,220.50,3.50,4,0.10,1,15.42,19.340
0.64,784.00,343.00,220.50,3.50,5,0.10,1,15.21,19.320
0.62,808.50,367.50,220.50,3.50,2,0.10,1,12.96,14.340
0.62,808.50,367.50,220.50,3.50,3,0.10,1,12.97,14.500
0.62,808.50,367.50,220.50,3.50,4,0.10,1,12.93,14.330
0.62,808.50,367.50,220.50,3.50,5,0.10,1,13.02,14.270
0.98,514.50,294.00,110.25,7.00,2,0.10,2,24.29,25.950
0.98,514.50,294.00,110.25,7.00,3,0.10,2,24.31,25.630
0.98,514.50,294.00,110.25,7.00,4,0.10,2,24.13,26.130
0.98,514.50,294.00,110.25,7.00,5,0.10,2,24.25,25.890
0.90,563.50,318.50,122.50,7.00,2,0.10,2,28.88,32.540
0.90,563.50,318.50,122.50,7.00,3,0.10,2,29.68,29.440
0.90,563.50,318.50,122.50,7.00,4,0.10,2,28.83,29.360
0.90,563.50,318.50,122.50,7.00,5,0.10,2,27.90,34.200
0.86,588.00,294.00,147.00,7.00,2,0.10,2,26.48,30.910
0.86,588.00,294.00,147.00,7.00,3,0.10,2,27.02,25.630
0.86,588.00,294.00,147.00,7.00,4,0.10,2,26.33,27.360
0.86,588.00,294.00,147.00,7.00,5,0.10,2,25.36,31.900
0.82,612.50,318.50,147.00,7.00,2,0.10,2,23.75,27.380
0.82,612.50,318.50,147.00,7.00,3,0.10,2,24.23,25.020
0.82,612.50,318.50,147.00,7.00,4,0.10,2,23.67,24.800
0.82,612.50,318.50,147.00,7.00,5,0.10,2,22.79,28.790
0.79,637.00,343.00,147.00,7.00,2,0.10,2,35.65,41.070
0.79,637.00,343.00,147.00,7.00,3,0.10,2,37.26,34.620
0.79,637.00,343.00,147.00,7.00,4,0.10,2,36.97,33.870
0.79,637.00,343.00,147.00,7.00,5,0.10,2,36.03,42.860
0.76,661.50,416.50,122.50,7.00,2,0.10,2,33.16,33.910
0.76,661.50,416.50,122.50,7.00,3,0.10,2,32.40,34.070
0.76,661.50,416.50,122.50,7.00,4,0.10,2,33.12,34.170
0.76,661.50,416.50,122.50,7.00,5,0.10,2,32.41,33.780
0.74,686.00,245.00,220.50,3.50,2,0.10,2,10.42,13.390
0.74,686.00,245.00,220.50,3.50,3,0.10,2,10.46,13.720
0.74,686.00,245.00,220.50,3.50,4,0.10,2,10.32,13.570
0.74,686.00,245.00,220.50,3.50,5,0.10,2,10.45,13.790
0.71,710.50,269.50,220.50,3.50,2,0.10,2,10.64,13.670
0.71,710.50,269.50,220.50,3.50,3,0.10,2,10.72,14.110
0.71,710.50,269.50,220.50,3.50,4,0.10,2,10.55,13.800
0.71,710.50,269.50,220.50,3.50,5,0.10,2,10.68,14.210
0.69,735.00,294.00,220.50,3.50,2,0.10,2,11.45,13.200
0.69,735.00,294.00,220.50,3.50,3,0.10,2,11.46,13.540
0.69,735.00,294.00,220.50,3.50,4,0.10,2,11.32,13.320
0.69,735.00,294.00,220.50,3.50,5,0.10,2,11.49,13.510
0.66,759.50,318.50,220.50,3.50,2,0.10,2,11.45,14.860
0.66,759.50,318.50,220.50,3.50,3,0.10,2,11.42,14.750
0.66,759.50,318.50,220.50,3.50,4,0.10,2,11.33,15.000
0.66,759.50,318.50,220.50,3.50,5,0.10,2,11.43,14.740
0.64,784.00,343.00,220.50,3.50,2,0.10,2,15.41,19.230
0.64,784.00,343.00,220.50,3.50,3,0.10,2,15.18,19.340
0.64,784.00,343.00,220.50,3.50,4,0.10,2,15.34,19.320
0.64,784.00,343.00,220.50,3.50,5,0.10,2,15.19,19.300
0.62,808.50,367.50,220.50,3.50,2,0.10,2,12.88,14.370
0.62,808.50,367.50,220.50,3.50,3,0.10,2,13.00,14.570
0.62,808.50,367.50,220.50,3.50,4,0.10,2,12.97,14.270
0.62,808.50,367.50,220.50,3.50,5,0.10,2,13.04,14.240
0.98,514.50,294.00,110.25,7.00,2,0.10,3,24.28,25.680
0.98,514.50,294.00,110.25,7.00,3,0.10,3,24.40,26.020
0.98,514.50,294.00,110.25,7.00,4,0.10,3,24.11,25.840
0.98,514.50,294.00,110.25,7.00,5,0.10,3,24.35,26.140
0.90,563.50,318.50,122.50,7.00,2,0.10,3,28.07,34.140
0.90,563.50,318.50,122.50,7.00,3,0.10,3,29.01,32.850
0.90,563.50,318.50,122.50,7.00,4,0.10,3,29.62,30.080
0.90,563.50,318.50,122.50,7.00,5,0.10,3,29.05,29.670
0.86,588.00,294.00,147.00,7.00,2,0.10,3,25.41,31.730
0.86,588.00,294.00,147.00,7.00,3,0.10,3,26.47,31.010
0.86,588.00,294.00,147.00,7.00,4,0.10,3,26.89,25.900
0.86,588.00,294.00,147.00,7.00,5,0.10,3,26.46,27.400
0.82,612.50,318.50,147.00,7.00,2,0.10,3,22.93,28.680
0.82,612.50,318.50,147.00,7.00,3,0.10,3,23.84,27.540
0.82,612.50,318.50,147.00,7.00,4,0.10,3,24.17,25.350
0.82,612.50,318.50,147.00,7.00,5,0.10,3,23.87,24.930
0.79,637.00,343.00,147.00,7.00,2,0.10,3,35.78,43.120
0.79,637.00,343.00,147.00,7.00,3,0.10,3,35.48,41.220
0.79,637.00,343.00,147.00,7.00,4,0.10,3,36.97,35.100
0.79,637.00,343.00,147.00,7.00,5,0.10,3,36.70,34.290
0.76,661.50,416.50,122.50,7.00,2,0.10,3,32.52,33.850
0.76,661.50,416.50,122.50,7.00,3,0.10,3,33.28,34.110
0.76,661.50,416.50,122.50,7.00,4,0.10,3,32.33,34.480
0.76,661.50,416.50,122.50,7.00,5,0.10,3,33.24,34.500
0.74,686.00,245.00,220.50,3.50,2,0.10,3,10.39,13.600
0.74,686.00,245.00,220.50,3.50,3,0.10,3,10.34,13.360
0.74,686.00,245.00,220.50,3.50,4,0.10,3,10.35,13.650
0.74,686.00,245.00,220.50,3.50,5,0.10,3,10.38,13.490
0.71,710.50,269.50,220.50,3.50,2,0.10,3,10.77,14.140
0.71,710.50,269.50,220.50,3.50,3,0.10,3,10.68,13.770
0.71,710.50,269.50,220.50,3.50,4,0.10,3,10.68,14.300
0.71,710.50,269.50,220.50,3.50,5,0.10,3,10.70,13.870
0.69,735.00,294.00,220.50,3.50,2,0.10,3,11.22,14.440
0.69,735.00,294.00,220.50,3.50,3,0.10,3,11.16,14.270
0.69,735.00,294.00,220.50,3.50,4,0.10,3,11.10,14.670
0.69,735.00,294.00,220.50,3.50,5,0.10,3,11.14,14.400
0.66,759.50,318.50,220.50,3.50,2,0.10,3,11.59,13.460
0.66,759.50,318.50,220.50,3.50,3,0.10,3,11.60,13.700
0.66,759.50,318.50,220.50,3.50,4,0.10,3,11.53,13.590
0.66,759.50,318.50,220.50,3.50,5,0.10,3,11.61,13.830
0.64,784.00,343.00,220.50,3.50,2,0.10,3,15.16,19.140
0.64,784.00,343.00,220.50,3.50,3,0.10,3,15.36,19.180
0.64,784.00,343.00,220.50,3.50,4,0.10,3,15.12,19.370
0.64,784.00,343.00,220.50,3.50,5,0.10,3,15.36,19.290
0.62,808.50,367.50,220.50,3.50,2,0.10,3,12.68,14.090
0.62,808.50,367.50,220.50,3.50,3,0.10,3,12.63,14.230
0.62,808.50,367.50,220.50,3.50,4,0.10,3,12.71,14.140
0.62,808.50,367.50,220.50,3.50,5,0.10,3,12.73,13.890
0.98,514.50,294.00,110.25,7.00,2,0.10,4,24.38,25.910
0.98,514.50,294.00,110.25,7.00,3,0.10,4,24.23,25.720
0.98,514.50,294.00,110.25,7.00,4,0.10,4,24.04,26.180
0.98,514.50,294.00,110.25,7.00,5,0.10,4,24.32,25.870
0.90,563.50,318.50,122.50,7.00,2,0.10,4,29.06,29.340
0.90,563.50,318.50,122.50,7.00,3,0.10,4,28.05,33.910
0.90,563.50,318.50,122.50,7.00,4,0.10,4,28.86,32.830
0.90,563.50,318.50,122.50,7.00,5,0.10,4,29.79,29.920
0.86,588.00,294.00,147.00,7.00,2,0.10,4,26.44,27.170
0.86,588.00,294.00,147.00,7.00,3,0.10,4,25.37,31.760
0.86,588.00,294.00,147.00,7.00,4,0.10,4,26.33,31.060
0.86,588.00,294.00,147.00,7.00,5,0.10,4,27.03,25.810
0.82,612.50,318.50,147.00,7.00,2,0.10,4,23.80,24.610
0.82,612.50,318.50,147.00,7.00,3,0.10,4,22.80,28.610
0.82,612.50,318.50,147.00,7.00,4,0.10,4,23.59,27.570
0.82,612.50,318.50,147.00,7.00,5,0.10,4,24.24,25.160
0.79,637.00,343.00,147.00,7.00,2,0.10,4,36.86,34.250
0.79,637.00,343.00,147.00,7.00,3,0.10,4,35.89,43.300
0.79,637.00,343.00,147.00,7.00,4,0.10,4,35.45,41.860
0.79,637.00,343.00,147.00,7.00,5,0.10,4,37.10,35.290
0.76,661.50,416.50,122.50,7.00,2,0.10,4,33.08,34.110
0.76,661.50,416.50,122.50,7.00,3,0.10,4,32.38,33.620
0.76,661.50,416.50,122.50,7.00,4,0.10,4,33.09,33.890
0.76,661.50,416.50,122.50,7.00,5,0.10,4,32.31,34.050
0.74,686.00,245.00,220.50,3.50,2,0.10,4,10.08,13.200
0.74,686.00,245.00,220.50,3.50,3,0.10,4,10.15,13.360
0.74,686.00,245.00,220.50,3.50,4,0.10,4,10.07,13.210
0.74,686.00,245.00,220.50,3.50,5,0.10,4,10.14,13.530
0.71,710.50,269.50,220.50,3.50,2,0.10,4,10.66,13.670
0.71,710.50,269.50,220.50,3.50,3,0.10,4,10.68,14.120
0.71,710.50,269.50,220.50,3.50,4,0.10,4,10.53,13.790
0.71,710.50,269.50,220.50,3.50,5,0.10,4,10.72,14.200
0.69,735.00,294.00,220.50,3.50,2,0.10,4,11.18,14.290
0.69,735.00,294.00,220.50,3.50,3,0.10,4,11.22,14.490
0.69,735.00,294.00,220.50,3.50,4,0.10,4,11.07,14.420
0.69,735.00,294.00,220.50,3.50,5,0.10,4,11.20,14.730
0.66,759.50,318.50,220.50,3.50,2,0.10,4,11.44,14.860
0.66,759.50,318.50,220.50,3.50,3,0.10,4,11.42,14.670
0.66,759.50,318.50,220.50,3.50,4,0.10,4,11.33,15.000
0.66,759.50,318.50,220.50,3.50,5,0.10,4,11.43,14.830
0.64,784.00,343.00,220.50,3.50,2,0.10,4,15.40,19.240
0.64,784.00,343.00,220.50,3.50,3,0.10,4,15.19,19.250
0.64,784.00,343.00,220.50,3.50,4,0.10,4,15.32,19.420
0.64,784.00,343.00,220.50,3.50,5,0.10,4,15.16,19.480
0.62,808.50,367.50,220.50,3.50,2,0.10,4,12.85,14.370
0.62,808.50,367.50,220.50,3.50,3,0.10,4,13.04,14.340
0.62,808.50,367.50,220.50,3.50,4,0.10,4,13.00,14.280
0.62,808.50,367.50,220.50,3.50,5,0.10,4,13.00,14.470
0.98,514.50,294.00,110.25,7.00,2,0.10,5,24.35,25.640
0.98,514.50,294.00,110.25,7.00,3,0.10,5,24.33,25.980
0.98,514.50,294.00,110.25,7.00,4,0.10,5,24.03,25.880
0.98,514.50,294.00,110.25,7.00,5,0.10,5,24.26,26.180
0.90,563.50,318.50,122.50,7.00,2,0.10,5,29.83,29.820
0.90,563.50,318.50,122.50,7.00,3,0.10,5,29.08,29.520
0.90,563.50,318.50,122.50,7.00,4,0.10,5,28.03,34.450
0.90,563.50,318.50,122.50,7.00,5,0.10,5,29.02,33.010
0.86,588.00,294.00,147.00,7.00,2,0.10,5,27.03,25.820
0.86,588.00,294.00,147.00,7.00,3,0.10,5,26.45,27.330
0.86,588.00,294.00,147.00,7.00,4,0.10,5,25.36,32.040
0.86,588.00,294.00,147.00,7.00,5,0.10,5,26.45,31.280
0.82,612.50,318.50,147.00,7.00,2,0.10,5,24.37,25.110
0.82,612.50,318.50,147.00,7.00,3,0.10,5,23.89,24.770
0.82,612.50,318.50,147.00,7.00,4,0.10,5,22.89,28.880
0.82,612.50,318.50,147.00,7.00,5,0.10,5,23.86,27.690
0.79,637.00,343.00,147.00,7.00,2,0.10,5,37.03,34.990
0.79,637.00,343.00,147.00,7.00,3,0.10,5,36.71,34.180
0.79,637.00,343.00,147.00,7.00,4,0.10,5,36.77,43.140
0.79,637.00,343.00,147.00,7.00,5,0.10,5,35.48,41.260
0.76,661.50,416.50,122.50,7.00,2,0.10,5,32.31,34.250
0.76,661.50,416.50,122.50,7.00,3,0.10,5,33.21,34.350
0.76,661.50,416.50,122.50,7.00,4,0.10,5,32.46,33.640
0.76,661.50,416.50,122.50,7.00,5,0.10,5,33.27,33.880
0.74,686.00,245.00,220.50,3.50,2,0.10,5,10.47,13.650
0.74,686.00,245.00,220.50,3.50,3,0.10,5,10.37,13.440
0.74,686.00,245.00,220.50,3.50,4,0.10,5,10.34,13.720
0.74,686.00,245.00,220.50,3.50,5,0.10,5,10.39,13.500
0.71,710.50,269.50,220.50,3.50,2,0.10,5,10.78,14.180
0.71,710.50,269.50,220.50,3.50,3,0.10,5,10.70,13.750
0.71,710.50,269.50,220.50,3.50,4,0.10,5,10.67,14.260
0.71,710.50,269.50,220.50,3.50,5,0.10,5,13.69,13.890
0.69,735.00,294.00,220.50,3.50,2,0.10,5,11.21,14.550
0.69,735.00,294.00,220.50,3.50,3,0.10,5,11.14,14.280
0.69,735.00,294.00,220.50,3.50,4,0.10,5,11.11,14.460
0.69,735.00,294.00,220.50,3.50,5,0.10,5,11.16,14.390
0.66,759.50,318.50,220.50,3.50,2,0.10,5,11.38,14.540
0.66,759.50,318.50,220.50,3.50,3,0.10,5,11.34,14.810
0.66,759.50,318.50,220.50,3.50,4,0.10,5,11.22,14.650
0.66,759.50,318.50,220.50,3.50,5,0.10,5,11.34,14.870
0.64,784.00,343.00,220.50,3.50,2,0.10,5,15.16,19.240
0.64,784.00,343.00,220.50,3.50,3,0.10,5,15.37,19.180
0.64,784.00,343.00,220.50,3.50,4,0.10,5,15.12,19.260
0.64,784.00,343.00,220.50,3.50,5,0.10,5,15.36,19.290
0.62,808.50,367.50,220.50,3.50,2,0.10,5,12.59,14.240
0.62,808.50,367.50,220.50,3.50,3,0.10,5,12.74,13.970
0.62,808.50,367.50,220.50,3.50,4,0.10,5,12.80,13.990
0.62,808.50,367.50,220.50,3.50,5,0.10,5,12.62,14.150
0.98,514.50,294.00,110.25,7.00,2,0.25,1,28.15,29.790
0.98,514.50,294.00,110.25,7.00,3,0.25,1,28.15,29.790
0.98,514.50,294.00,110.25,7.00,4,0.25,1,28.37,29.280
0.98,514.50,294.00,110.25,7.00,5,0.25,1,28.41,29.490
0.90,563.50,318.50,122.50,7.00,2,0.25,1,32.68,36.120
0.90,563.50,318.50,122.50,7.00,3,0.25,1,33.48,33.170
0.90,563.50,318.50,122.50,7.00,4,0.25,1,32.84,32.710
0.90,563.50,318.50,122.50,7.00,5,0.25,1,32.00,37.580
0.86,588.00,294.00,147.00,7.00,2,0.25,1,29.54,33.980
0.86,588.00,294.00,147.00,7.00,3,0.25,1,30.05,28.610
0.86,588.00,294.00,147.00,7.00,4,0.25,1,29.60,30.120
0.86,588.00,294.00,147.00,7.00,5,0.25,1,28.66,34.730
0.82,612.50,318.50,147.00,7.00,2,0.25,1,26.84,30.170
0.82,612.50,318.50,147.00,7.00,3,0.25,1,27.27,27.840
0.82,612.50,318.50,147.00,7.00,4,0.25,1,26.97,27.250
0.82,612.50,318.50,147.00,7.00,5,0.25,1,26.19,31.390
0.79,637.00,343.00,147.00,7.00,2,0.25,1,38.67,43.800
0.79,637.00,343.00,147.00,7.00,3,0.25,1,40.03,37.810
0.79,637.00,343.00,147.00,7.00,4,0.25,1,39.86,36.850
0.79,637.00,343.00,147.00,7.00,5,0.25,1,39.04,45.520
0.76,661.50,416.50,122.50,7.00,2,0.25,1,36.96,36.850
0.76,661.50,416.50,122.50,7.00,3,0.25,1,36.13,37.580
0.76,661.50,416.50,122.50,7.00,4,0.25,1,36.91,37.450
0.76,661.50,416.50,122.50,7.00,5,0.25,1,36.43,36.620
0.74,686.00,245.00,220.50,3.50,2,0.25,1,12.43,15.190
0.74,686.00,245.00,220.50,3.50,3,0.25,1,12.50,15.500
0.74,686.00,245.00,220.50,3.50,4,0.25,1,12.41,15.280
0.74,686.00,245.00,220.50,3.50,5,0.25,1,12.45,15.500
0.71,710.50,269.50,220.50,3.50,2,0.25,1,12.57,15.420
0.71,710.50,269.50,220.50,3.50,3,0.25,1,12.65,15.850
0.71,710.50,269.50,220.50,3.50,4,0.25,1,12.57,15.440
0.71,710.50,269.50,220.50,3.50,5,0.25,1,12.63,15.810
0.69,735.00,294.00,220.50,3.50,2,0.25,1,12.78,15.210
0.69,735.00,294.00,220.50,3.50,3,0.25,1,12.93,15.630
0.69,735.00,294.00,220.50,3.50,4,0.25,1,12.73,15.480
0.69,735.00,294.00,220.50,3.50,5,0.25,1,12.72,15.780
0.66,759.50,318.50,220.50,3.50,2,0.25,1,13.17,16.390
0.66,759.50,318.50,220.50,3.50,3,0.25,1,13.18,16.270
0.66,759.50,318.50,220.50,3.50,4,0.25,1,13.17,16.390
0.66,759.50,318.50,220.50,3.50,5,0.25,1,13.18,16.190
0.64,784.00,343.00,220.50,3.50,2,0.25,1,17.50,21.130
0.64,784.00,343.00,220.50,3.50,3,0.25,1,17.35,21.190
0.64,784.00,343.00,220.50,3.50,4,0.25,1,17.52,21.090
0.64,784.00,343.00,220.50,3.50,5,0.25,1,17.37,21.080
0.62,808.50,367.50,220.50,3.50,2,0.25,1,15.09,15.770
0.62,808.50,367.50,220.50,3.50,3,0.25,1,15.12,15.950
0.62,808.50,367.50,220.50,3.50,4,0.25,1,15.08,15.770
0.62,808.50,367.50,220.50,3.50,5,0.25,1,15.16,15.760
0.98,514.50,294.00,110.25,7.00,2,0.25,2,28.67,29.620
0.98,514.50,294.00,110.25,7.00,3,0.25,2,28.57,29.690
0.98,514.50,294.00,110.25,7.00,4,0.25,2,28.18,30.180
0.98,514.50,294.00,110.25,7.00,5,0.25,2,28.60,30.020
0.90,563.50,318.50,122.50,7.00,2,0.25,2,32.46,35.560
0.90,563.50,318.50,122.50,7.00,3,0.25,2,33.27,32.640
0.90,563.50,318.50,122.50,7.00,4,0.25,2,32.33,32.770
0.90,563.50,318.50,122.50,7.00,5,0.25,2,31.66,37.720
0.86,588.00,294.00,147.00,7.00,2,0.25,2,29.34,33.370
0.86,588.00,294.00,147.00,7.00,3,0.25,2,29.87,27.890
0.86,588.00,294.00,147.00,7.00,4,0.25,2,29.27,29.900
0.86,588.00,294.00,147.00,7.00,5,0.25,2,28.40,34.520
0.82,612.50,318.50,147.00,7.00,2,0.25,2,25.74,28.270
0.82,612.50,318.50,147.00,7.00,3,0.25,2,25.98,26.960
0.82,612.50,318.50,147.00,7.00,4,0.25,2,25.38,26.720
0.82,612.50,318.50,147.00,7.00,5,0.25,2,24.94,29.880
0.79,637.00,343.00,147.00,7.00,2,0.25,2,38.57,43.860
0.79,637.00,343.00,147.00,7.00,3,0.25,2,40.19,37.410
0.79,637.00,343.00,147.00,7.00,4,0.25,2,39.97,36.770
0.79,637.00,343.00,147.00,7.00,5,0.25,2,38.98,45.970
0.76,661.50,416.50,122.50,7.00,2,0.25,2,36.95,36.870
0.76,661.50,416.50,122.50,7.00,3,0.25,2,36.28,37.350
0.76,661.50,416.50,122.50,7.00,4,0.25,2,36.86,37.280
0.76,661.50,416.50,122.50,7.00,5,0.25,2,36.45,36.810
0.74,686.00,245.00,220.50,3.50,2,0.25,2,12.35,14.730
0.74,686.00,245.00,220.50,3.50,3,0.25,2,12.45,15.100
0.74,686.00,245.00,220.50,3.50,4,0.25,2,12.16,15.180
0.74,686.00,245.00,220.50,3.50,5,0.25,2,12.30,15.440
0.71,710.50,269.50,220.50,3.50,2,0.25,2,12.33,14.910
0.71,710.50,269.50,220.50,3.50,3,0.25,2,12.29,15.400
0.71,710.50,269.50,220.50,3.50,4,0.25,2,12.20,14.940
0.71,710.50,269.50,220.50,3.50,5,0.25,2,12.49,15.320
0.69,735.00,294.00,220.50,3.50,2,0.25,2,12.85,15.520
0.69,735.00,294.00,220.50,3.50,3,0.25,2,12.87,15.850
0.69,735.00,294.00,220.50,3.50,4,0.25,2,12.73,15.660
0.69,735.00,294.00,220.50,3.50,5,0.25,2,12.95,15.990
0.66,759.50,318.50,220.50,3.50,2,0.25,2,13.05,15.890
0.66,759.50,318.50,220.50,3.50,3,0.25,2,12.93,15.850
0.66,759.50,318.50,220.50,3.50,4,0.25,2,12.77,16.220
0.66,759.50,318.50,220.50,3.50,5,0.25,2,13.00,15.870
0.64,784.00,343.00,220.50,3.50,2,0.25,2,17.14,20.470
0.64,784.00,343.00,220.50,3.50,3,0.25,2,16.84,20.560
0.64,784.00,343.00,220.50,3.50,4,0.25,2,17.02,20.480
0.64,784.00,343.00,220.50,3.50,5,0.25,2,17.11,20.430
0.62,808.50,367.50,220.50,3.50,2,0.25,2,14.34,15.320
0.62,808.50,367.50,220.50,3.50,3,0.25,2,14.66,15.640
0.62,808.50,367.50,220.50,3.50,4,0.25,2,14.60,15.140
0.62,808.50,367.50,220.50,3.50,5,0.25,2,14.60,15.300
0.98,514.50,294.00,110.25,7.00,2,0.25,3,28.67,29.430
0.98,514.50,294.00,110.25,7.00,3,0.25,3,28.56,29.780
0.98,514.50,294.00,110.25,7.00,4,0.25,3,28.17,30.100
